posicion,tiempo,dif,nombre,club,pais,sex,cat,carrera,anio
1,03:50:30,00:00:00,Cristofer CLEMENTE MORA,N/D,N/D,M,SENIOR,meridiano,2017
2,04:05:57,00:15:26,Zaid AID MALEK,N/D,N/D,M,SENIOR,meridiano,2017
3,04:10:15,00:19:45,David LOPEZ CASTAN,N/D,N/D,M,SENIOR,meridiano,2017
4,04:15:31,00:25:01,Manuel DIEZ-RABAGO GOMEZ CUETARA,CLUB LA MILANA,N/D,M,VET-A,meridiano,2017
5,04:22:10,00:31:40,Alberto PELAEZ SERRANO,N/D,N/D,M,VET-A,meridiano,2017
6,04:22:28,00:31:58,Jose Carlos VERA LORENZO,INTERSPORT - AMORSECO,N/D,M,SENIOR,meridiano,2017
7,04:33:07,00:42:37,Maiker ARMAS PEREZ,GARAFIAVENTURA,N/D,M,SENIOR,meridiano,2017
8,04:35:40,00:45:09,Jose Jonathan GUILLEN DELGADO,NURICAN TRAIL,N/D,M,SENIOR,meridiano,2017
9,04:40:33,00:50:03,Francisco Jose GODOY ROMERO,N/D,N/D,M,VET-A,meridiano,2017
10,04:40:39,00:50:08,Alejandro ARMAS MORALES,STUDIO 54 INTERSPORT,N/D,M,SENIOR,meridiano,2017
11,04:42:02,00:51:32,Patricio VELEZ QUISHPE,INCORPORE SANO,N/D,M,SENIOR,meridiano,2017
12,04:44:36,00:54:06,Jose Ramon ORTIZ CARBALLO,N/D,N/D,M,SENIOR,meridiano,2017
13,04:46:47,00:56:17,Oscar Luis ACOSTA DIAZ,OLEAJE SPORT,N/D,M,VET-A,meridiano,2017
14,04:54:16,01:03:46,Thomas LINDSTEN,AARHUS 1900 TRIATHLON,N/D,M,SENIOR,meridiano,2017
15,04:54:43,01:04:13,Daniel BARRETO CONCEPCION,PALIBA RUNNING,N/D,M,SENIOR,meridiano,2017
16,04:55:22,01:04:52,Yaiza HERRERA SANTANA,N/D,N/D,F,SENIOR,meridiano,2017
17,04:55:55,01:05:25,Jose Guzman PEÑA SUAREZ,GALLOTIA,N/D,M,SENIOR,meridiano,2017
18,04:56:36,01:06:06,Alberto LUCAS RODRIGUEZ,CLOVER TEAM,N/D,M,SENIOR,meridiano,2017
19,05:03:08,01:12:38,Arcadio ARAUJO GOPAR,C.D. CARUCAT,N/D,M,VET-A,meridiano,2017
20,05:05:13,01:14:43,Jorge COELLO HERNANDEZ,CORRECAMINOS TENERIFE TEAM,N/D,M,VET-A,meridiano,2017
21,05:05:51,01:15:20,Ricardo LUIS TRUJILLO,PALEOCENTER TRAIL,N/D,M,SENIOR,meridiano,2017
22,05:13:31,01:23:01,Francisco Manuel HERNANDEZ FEBLES,INCORPORE SANO,N/D,M,VET-A,meridiano,2017
23,05:13:40,01:23:10,Pedro Miguel RAMOS RODRIGUEZ,BAYANA,N/D,M,VET-A,meridiano,2017
24,05:16:24,01:25:54,Manuel Alejandro SANTOS HERNANDEZ,STUDIO 54 INTERSPORT,N/D,M,SENIOR,meridiano,2017
25,05:16:25,01:25:55,Diego INFANTE GUERRERO,N/D,N/D,M,VET-A,meridiano,2017
26,05:16:32,01:26:02,Josimar AYUT HERNANDEZ,C.D. SENDERISMO CAMINANTES DE LAS BREÑAS - BREÑAS TRAIL & BIKE,N/D,M,SENIOR,meridiano,2017
27,05:16:37,01:26:07,Ismael LOPEZ ROLDAN,C.D. ADRAR 7 RAID,N/D,M,SENIOR,meridiano,2017
28,05:16:44,01:26:13,Aaron David ARENCIBIA RODRIGUEZ,BAIFOS TRAIL,N/D,M,SENIOR,meridiano,2017
29,05:16:57,01:26:26,Jesus Emilio CASTRO PEREZ,STUDIO54 INTERSPORT,N/D,M,SENIOR,meridiano,2017
30,05:17:38,01:27:07,Marcos LOPEZ ALVAREZ,C.D.ARISTA,N/D,M,VET-A,meridiano,2017
31,05:17:59,01:27:29,Victor GONZALEZ CEJAS,C.D. ADRAR 7 RAID,N/D,M,SENIOR,meridiano,2017
32,05:18:30,01:27:59,Samuel HERNANDEZ PEREZ,C.A. TRECUS,N/D,M,SENIOR,meridiano,2017
33,05:18:43,01:28:13,Carmelo Jose GONZALEZ GARCIA,BAIFOS TRAIL,N/D,M,SENIOR,meridiano,2017
34,05:21:11,01:30:40,Airam PADRON LORENZO,PARALAPATA TRAIL,N/D,M,SENIOR,meridiano,2017
35,05:21:20,01:30:50,Juan Ramon PEÑA REYES,CD 35600,N/D,M,SENIOR,meridiano,2017
36,05:21:30,01:31:00,Ione Acaymo SANCHEZ MORALES,NARAKA RUNNERS,N/D,M,SENIOR,meridiano,2017
37,05:23:58,01:33:28,Sergio RODRIGUEZ GONZALEZ,HARÍA TRAIL TEAM,N/D,M,VET-A,meridiano,2017
38,05:26:32,01:36:02,Pedro Jose PLACERES AFONSO,CLUB CICLISTA CHINEJE,N/D,M,VET-A,meridiano,2017
39,05:27:15,01:36:45,Olver Fernando PEREZ PEREZ,VEREDAS ATAURO,N/D,M,SENIOR,meridiano,2017
40,05:28:18,01:37:48,Angels LLOBERA VICENS,INVERSETEAM SOLORUNNERS,N/D,F,SENIOR,meridiano,2017
41,05:29:20,01:38:50,Jose Antonio DELGADO RODRIGUEZ,CD RIVEROL RUNNING,N/D,M,SENIOR,meridiano,2017
42,05:29:23,01:38:53,Trino Damian MARTIN DIAZ,TITANES DE ARICO,N/D,M,VET-A,meridiano,2017
43,05:30:08,01:39:38,Javier GARCIA SANTANA,N/D,N/D,M,SENIOR,meridiano,2017
44,05:32:49,01:42:19,Maria Del Pilar FEBLES CARBALLO,INCORPORE SANO,N/D,F,VET-A,meridiano,2017
45,05:34:43,01:44:13,David JIMENEZ MEJIAS,CD RIVEROL RUNNING LA PALMA PRINCESS HOTELS,N/D,M,SENIOR,meridiano,2017
46,05:36:09,01:45:39,Benjamin MORALES GARCIA,DEPORTES DEL CASTILLO,N/D,M,SENIOR,meridiano,2017
47,05:36:47,01:46:16,Javier BOTRAN DE LEON,LECHU BORG,N/D,M,SENIOR,meridiano,2017
48,05:36:47,01:46:17,Simon MARTIN DE PAZ,N/D,N/D,M,SENIOR,meridiano,2017
49,05:37:30,01:47:00,Fernando PIÑERO CRUZ,TENERIFE TRAIL,N/D,M,VET-A,meridiano,2017
50,05:37:43,01:47:13,Rayco GONZALEZ CASTELLANO,MUEVETE RUNNING,N/D,M,SENIOR,meridiano,2017
51,05:37:43,01:47:13,Roberto Jesus LEAL RODRIGUEZ,BAYANA TRAIL,N/D,M,VET-A,meridiano,2017
52,05:37:48,01:47:18,Elena RODRIGUEZ DE VERA PEREZ,N/D,N/D,F,SENIOR,meridiano,2017
53,05:37:56,01:47:26,Jose Manuel MARTIN HERNANDEZ,TENERIFE TRAIL,N/D,M,VET-A,meridiano,2017
54,05:38:25,01:47:55,Oscar Alberto RAMOS NODA,N/D,N/D,M,SENIOR,meridiano,2017
55,05:38:28,01:47:57,Angel Santiago GIL PERDOMO,IGUESTE TRAIL,N/D,M,VET-A,meridiano,2017
56,05:39:01,01:48:30,Pedro Antonio RODRIGUEZ PADILLA,GUANILAS TEAM,N/D,M,VET-A,meridiano,2017
57,05:40:24,01:49:54,Silvano SORDONI,N/D,N/D,M,VET-B,meridiano,2017
58,05:40:46,01:50:15,Ivan GONZALEZ FRANCISCO,NOW RUN - EVENTO 7 PRODUCCIONES,N/D,M,SENIOR,meridiano,2017
59,05:43:02,01:52:31,Alejandro MARTIN RODRIGUEZ,GARAFIAVENTURA,N/D,M,SENIOR,meridiano,2017
60,05:43:53,01:53:23,Samuel RAVELO RAMIREZ,N/D,N/D,M,SENIOR,meridiano,2017
61,05:44:04,01:53:34,Moises CRUZ PEÑATE,N/D,N/D,M,SENIOR,meridiano,2017
62,05:45:44,01:55:14,Ignacio AYALA BARROSO,CENCERRO TEAM,N/D,M,SENIOR,meridiano,2017
63,05:46:51,01:56:21,Adal Mahy SANTANA MARTIN,N/D,N/D,M,SENIOR,meridiano,2017
64,05:46:53,01:56:22,Cristo Jonas PEREZ CACERES,TRAJOCADE RUNNING,N/D,M,SENIOR,meridiano,2017
65,05:47:09,01:56:39,Ruben QUINTANA SANCHEZ,TENERIFE TRAIL,N/D,M,SENIOR,meridiano,2017
66,05:47:27,01:56:56,Heriberto RAMOS PEREZ,C.T CANDETLÓN,N/D,M,SENIOR,meridiano,2017
67,05:47:51,01:57:21,Jose Manuel GONZALEZ LEON,CD DESNIVEL,N/D,M,SENIOR,meridiano,2017
68,05:47:53,01:57:23,Francisco Javier ACOSTA ACOSTA,BAYANA TRAIL,N/D,M,VET-A,meridiano,2017
69,05:51:48,02:01:18,Hector DIAZ PACHECO,TITANES,N/D,M,SENIOR,meridiano,2017
70,05:52:14,02:01:43,Roman DENIZ HERRERA,PODENCOS TRAIL,N/D,M,VET-A,meridiano,2017
71,05:52:15,02:01:44,Alejandro SUAREZ NUEZ,N/D,N/D,M,VET-A,meridiano,2017
72,05:53:52,02:03:22,Alan LEON TEMPEST,ICHASAGUA TRAIL,N/D,M,SENIOR,meridiano,2017
73,05:53:56,02:03:26,Jose Angel GONZALEZ GONZALEZ,STUDIO 54,N/D,M,VET-A,meridiano,2017
74,05:54:06,02:03:35,Claudio Antonio GARCIA LUIS,C.DE CORREDORES ULTRATENETRAIL,N/D,M,VET-A,meridiano,2017
75,05:54:25,02:03:55,Salvador GARCIA VEGA,G.M. IZCAGUA,N/D,M,VET-B,meridiano,2017
76,05:55:09,02:04:39,Oscar ORTIZ GONZALEZ,N/D,N/D,M,VET-A,meridiano,2017
77,05:55:47,02:05:17,Aitor LEDESMA ALONSO,CHICHARRO TRAIL,N/D,M,SENIOR,meridiano,2017
78,05:55:49,02:05:19,Sergio AZCARAY GOMEZ,3COMSQUAD,N/D,M,VET-A,meridiano,2017
79,05:56:07,02:05:37,Carlos Javier HDEZ GLEZ,TENERIFE TRAIL,N/D,M,SENIOR,meridiano,2017
80,05:56:21,02:05:50,Ricardo RODRIGUEZ MORALES,AIIIIIIIADELANTE TEAM,N/D,M,SENIOR,meridiano,2017
81,05:56:36,02:06:06,Jacob JUSTESEN,AARHUS 1900 TRIATHLON,N/D,M,SENIOR,meridiano,2017
82,05:57:29,02:06:59,Aday GONZALEZ MARRERO,C.D. ARISTA,N/D,M,SENIOR,meridiano,2017
83,05:57:33,02:07:02,Ana Belen MARTIN GONZALEZ,INTERSPORT,N/D,F,VET-A,meridiano,2017
84,05:57:33,02:07:03,Ruben NOVOA JURADO,INCORPORE SANO,N/D,M,VET-A,meridiano,2017
85,05:57:53,02:07:23,Joerg FOEST,INCORPORE SANO,N/D,M,VET-B,meridiano,2017
86,05:58:24,02:07:54,Jose Ramon GONZALEZ CASANOVA,C. D. ABINQUE,N/D,M,VET-A,meridiano,2017
87,05:58:42,02:08:12,Christian HERNANDEZ ZAMORA,LEVANTA POLVACERAS,N/D,M,SENIOR,meridiano,2017
88,05:58:42,02:08:12,Jose Antonio GARCIA PEREZ,LOS LEVANTA POLVASERA,N/D,M,VET-A,meridiano,2017
89,05:58:42,02:08:12,Jose Manuel HERNANDEZ MENDEZ,LEVANTA POLVACERAS,N/D,M,VET-A,meridiano,2017
90,05:59:37,02:09:07,Emilio OJEDA HERNANDEZ,ARISTA,N/D,M,SENIOR,meridiano,2017
91,05:59:37,02:09:07,Nicolas MARTIN GONZALEZ,CLATOR 3.7,N/D,M,VET-A,meridiano,2017
92,06:00:32,02:10:02,Dewit RAYMOND,TRANSITION SPORT,N/D,M,VET-A,meridiano,2017
93,06:00:34,02:10:03,Luis Jacob GONZALEZ FRANCISCO,NOW RUN - EVENTO 7 PRODUCCIONES,N/D,M,SENIOR,meridiano,2017
