posicion,tiempo,dif,nombre,club,pais,sex,cat,carrera,anio
1,03:42:45,00:00:00,Stian ANGERMUND VIK,N/D,N/D,M,SENIOR,meridiano,2020
2,03:48:08,00:05:22,Mario OLMEDO SANCHA,N/D,N/D,M,SENIOR,meridiano,2020
3,03:59:18,00:16:32,Andrés VIEDMA MUÑOZ,EKUON,N/D,M,SENIOR,meridiano,2020
4,04:00:44,00:17:59,Darío MOITOSO,N/D,N/D,M,SENIOR,meridiano,2020
5,04:01:04,00:18:18,Yoel DE PAZ BAEZA,N/D,N/D,M,SENIOR,meridiano,2020
6,04:15:23,00:32:37,Oswaldo MEDINA GUTIÉRREZ,ACTIVAT TRAIL TEAM,N/D,M,SENIOR,meridiano,2020
7,04:16:10,00:33:24,Sergio MARTÍN HERNÁNDEZ,N/D,N/D,M,VET-A,meridiano,2020
8,04:20:32,00:37:47,Tini GARCIA PEREZ,LURBEL CANARIAS,N/D,M,VET-A,meridiano,2020
9,04:31:55,00:49:10,Maiker ARMAS PEREZ,GARAFIA INFINITA,N/D,M,SENIOR,meridiano,2020
10,04:40:45,00:57:59,Javier BOTRÁN DE LEÓN,TEAM OLD PEAK,N/D,M,SENIOR,meridiano,2020
11,04:43:11,01:00:25,Alberto AURENSANZ CLEMENTE,ATLETISMO 5 VILLAS,N/D,M,SENIOR,meridiano,2020
12,04:43:40,01:00:54,Juan David GALLARDO DENIZ,BIKILA CANARIAS,N/D,M,VET-A,meridiano,2020
13,04:47:51,01:05:06,Ivan QUINTANA URBANO,CARPHIAL TEROR TRAIL,N/D,M,VET-A,meridiano,2020
14,04:48:55,01:06:09,Joel SOTO URBANO,MACHETE TRAIL,N/D,M,SENIOR,meridiano,2020
15,04:53:04,01:10:18,Cristian GUERRA PÉREZ,C.D. MONTAÑA VERGARA,N/D,M,SENIOR,meridiano,2020
16,04:54:41,01:11:55,Eleazar RODRIGUEZ HERNANDEZ,CD NEBLINA VALLESECO TRAIL,N/D,M,SENIOR,meridiano,2020
17,04:56:23,01:13:37,Ivan Jose DOMINGUEZ HERNANDEZ,UAVA,N/D,M,VET-A,meridiano,2020
18,04:57:36,01:14:50,María José GUILLEN NARANJO,N/D,N/D,F,SENIOR,meridiano,2020
