posicion,tiempo,dif,nombre,club,pais,sex,cat,carrera,anio
0,1,11:29:47,00:00:00,Yeray DURÁN LÓPEZ,N/D,N/D,M,VET-A,bluetrail,2017
1,2,12:10:42,00:40:55,Ion AZPIROZ AZPIROZ,N/D,N/D,M,SENIOR,bluetrail,2017
2,3,12:39:04,01:09:17,Sangé SHERPA,N/D,N/D,M,SENIOR,bluetrail,2017
3,4,12:51:22,01:21:35,Erlantz ZALDUNBIDE LEGARRA,N/D,N/D,M,SENIOR,bluetrail,2017
4,5,12:54:08,01:24:21,Jose Ramon ORTIZ GONZALEZ CARBALLO,N/D,N/D,M,SENIOR,bluetrail,2017
5,6,13:42:17,02:12:30,Ángel Manuel ORTEGA SANTANA,N/D,N/D,M,VET-A,bluetrail,2017
6,7,13:56:07,02:26:20,Aarón David ARENCIBIA RODRÍGUEZ,N/D,N/D,M,SENIOR,bluetrail,2017
7,8,13:58:07,02:28:20,Christelle BARD,N/D,N/D,F,SENIOR,bluetrail,2017
8,9,14:10:03,02:40:16,Juan Antonio GONZALEZ RODRIGUEZ,N/D,N/D,M,VET-A,bluetrail,2017
9,10,14:12:19,02:42:32,Miguel Angel GARCIA GUTIERREZ,N/D,N/D,M,VET-B,bluetrail,2017
10,11,14:12:45,02:42:58,Iván Eladio DELGADO ARMAS,N/D,N/D,M,SENIOR,bluetrail,2017
11,12,14:23:17,02:53:30,Jabin PEREZ GONZALEZ,N/D,N/D,M,SENIOR,bluetrail,2017
12,13,14:24:29,02:54:42,Juan Manuel BRAÑA LÓPEZ,N/D,N/D,M,SENIOR,bluetrail,2017
13,14,14:26:55,02:57:08,Javier TEJEDOR DIAZ,N/D,N/D,M,VET-A,bluetrail,2017
14,15,14:38:45,03:08:58,Javier ORDIERES TORRE,N/D,N/D,M,SENIOR,bluetrail,2017
15,16,14:38:57,03:09:10,Roberto  MARRERO PÉREZ,N/D,N/D,M,VET-A,bluetrail,2017
16,17,14:49:37,03:19:50,Ignacio GARCÍA DEL CASTILLO,N/D,N/D,M,VET-A,bluetrail,2017
17,18,15:01:44,03:31:57,Jonathan GONZÁLEZ MÉNDEZ,N/D,N/D,M,SENIOR,bluetrail,2017
18,19,15:12:25,03:42:38,Tato AFONSO LEÓN,N/D,N/D,M,SENIOR,bluetrail,2017
19,20,15:14:48,03:45:01,Jose David HERNANDEZ DIAZ,N/D,N/D,M,VET-A,bluetrail,2017
20,21,15:19:02,03:49:15,Jesus FRAILE JIMENEZ,N/D,N/D,M,VET-A,bluetrail,2017
21,22,15:23:06,03:53:19,Aitor ARANA AREXOLALEIBA,N/D,N/D,M,VET-A,bluetrail,2017
22,23,15:27:29,03:57:42,Calixto SOSA PACHECO,N/D,N/D,M,SENIOR,bluetrail,2017
23,24,15:35:29,04:05:42,Juan Antonio DIOS MOSEGUE,N/D,N/D,M,VET-A,bluetrail,2017
24,25,15:42:59,04:13:12,Arsenio MARTIN GONZALEZ,N/D,N/D,M,VET-A,bluetrail,2017
25,26,15:52:52,04:23:05,Marcos MARTIN GONZALEZ,N/D,N/D,M,SENIOR,bluetrail,2017
26,27,15:59:57,04:30:10,Carlos BRAVO CONDE,N/D,N/D,M,SENIOR,bluetrail,2017
27,28,15:59:57,04:30:10,Bruno Toribio  AGUILAR GUTIÉRREZ,N/D,N/D,M,SENIOR,bluetrail,2017
28,29,16:09:14,04:39:27,Roberto GUILARTE SIMÓN,N/D,N/D,M,VET-A,bluetrail,2017
29,30,16:11:35,04:41:48,Garikoitz ZUMETA ARTOLA,N/D,N/D,M,SENIOR,bluetrail,2017
30,31,16:17:14,04:47:27,Jose Andres RODRIGUEZ PALENZUELA,N/D,N/D,M,SENIOR,bluetrail,2017
31,32,16:27:35,04:57:48,Jose Juan LOPEZ FIGUERO,N/D,N/D,M,SENIOR,bluetrail,2017
32,33,16:28:24,04:58:37,Bruno MONTESDEOCA RAMOS,N/D,N/D,M,SENIOR,bluetrail,2017
33,34,16:33:20,05:03:33,Alberto  MEGIDO CASTELLANO,N/D,N/D,M,VET-A,bluetrail,2017
34,35,16:34:27,05:04:40,Pedro PÉREZ PALENZUELA,N/D,N/D,M,SENIOR,bluetrail,2017
35,36,16:36:40,05:06:53,Avelino FLECHA TASCÓN,N/D,N/D,M,VET-B,bluetrail,2017
36,37,16:38:27,05:08:40,Juan Carlos RODRÍGUEZ CASTILLA,N/D,N/D,M,VET-A,bluetrail,2017
37,38,16:41:46,05:11:59,Alfonso GARCÍA CLEMENTE,N/D,N/D,M,SENIOR,bluetrail,2017
38,39,16:47:23,05:17:36,Andrés MARTÍ PUIG,N/D,N/D,M,VET-A,bluetrail,2017
39,40,16:47:54,05:18:07,Joran MARTIN PEREZ,N/D,N/D,M,SENIOR,bluetrail,2017
40,41,16:50:13,05:20:26,Marcos  LÓPEZ ÁLVAREZ,N/D,N/D,M,VET-A,bluetrail,2017
41,42,16:54:09,05:24:22,Miguel Sinue RODRÍGUEZ NAVARRO,N/D,N/D,M,VET-A,bluetrail,2017
42,43,16:55:57,05:26:10,Airam BAEZ ACOSTA,N/D,N/D,M,SENIOR,bluetrail,2017
43,44,16:56:26,05:26:39,Chamu  RAVELO,N/D,N/D,M,SENIOR,bluetrail,2017
44,45,16:56:44,05:26:57,Salvador  GONZALEZ TEODORO,N/D,N/D,M,SENIOR,bluetrail,2017
45,46,16:57:49,05:28:02,Cinzia BERTASA,N/D,N/D,F,VET-A,bluetrail,2017
46,47,17:00:57,05:31:10,Jesus Manuel GONZALEZ MENDEZ,N/D,N/D,M,VET-A,bluetrail,2017
47,48,17:01:00,05:31:13,Paco CASTILLO CARRASCAL,N/D,N/D,M,VET-A,bluetrail,2017
48,49,17:04:09,05:34:22,Iván PÉREZ CARLOS,N/D,N/D,M,SENIOR,bluetrail,2017
49,50,17:06:05,05:36:18,Jose Juan GARCESO CAMACHO,N/D,N/D,M,SENIOR,bluetrail,2017
50,51,17:08:37,05:38:50,Kevin SUAREZ SANTIAGO,N/D,N/D,M,SENIOR,bluetrail,2017
51,52,17:19:42,05:49:55,Francisco  QUINTANA SANCHEZ,N/D,N/D,M,VET-A,bluetrail,2017
52,53,17:23:16,05:53:29,Ivan Pablo DE LEON HERNANDEZ,N/D,N/D,M,SENIOR,bluetrail,2017
