posicion,tiempo,dif,nombre,club,pais,sex,cat,carrera,anio
55,56,18:24:16,00:00:00,Jose-Antonio TORRES-BETHENCOURT,N/D,N/D,M,VET-A,bluetrail,2018
56,57,18:24:52,00:00:00,Michele PIATTO,N/D,N/D,M,VET-A,bluetrail,2018
57,58,18:38:58,00:00:00,Cedric ACHARD,N/D,N/D,M,SENIOR,bluetrail,2018
58,59,18:41:31,00:00:00,Angel-Luis CAMACHO-PEREZ,N/D,N/D,M,VET-A,bluetrail,2018
59,60,18:42:30,00:00:00,Jose-Javier IGLESIAS-PEREIRA,N/D,N/D,M,VET-A,bluetrail,2018
60,61,18:45:38,00:00:00,Silviu CURUCIUC,N/D,N/D,M,SENIOR,bluetrail,2018
61,62,18:47:12,00:00:00,Stephane REYNAUD,N/D,N/D,M,SENIOR,bluetrail,2018
62,63,18:49:33,00:00:00,Francois BALAO,N/D,N/D,M,SENIOR,bluetrail,2018
63,64,18:50:23,00:00:00,Antonio-Jesus RIOS-GARCIA,N/D,N/D,M,VET-A,bluetrail,2018
64,65,18:54:35,00:00:00,Ivan Alberto DIAZ GONZALEZ,N/D,N/D,M,SENIOR,bluetrail,2018
65,66,18:54:46,00:00:00,Antonio-Javier RODRÍGUEZ-PÉREZ,N/D,N/D,M,SENIOR,bluetrail,2018
66,67,18:55:15,00:00:00,Luciano-Javier GONZALEZ-RODRIGUEZ,N/D,N/D,M,VET-A,bluetrail,2018
67,68,18:58:57,00:00:00,Eduardo FALCON CASTELLANO,N/D,N/D,M,VET-A,bluetrail,2018
68,69,19:01:19,00:00:00,Andreas SCHNEIDEWIND,N/D,N/D,M,VET-B,bluetrail,2018
69,70,19:01:19,00:00:00,David DIAZ MARTINEZ,N/D,N/D,M,VET-A,bluetrail,2018
70,71,19:03:58,00:00:00,Alexander ZELENKA,N/D,N/D,M,VET-A,bluetrail,2018
71,72,19:07:05,00:00:00,Francisco-Javier HERNANDEZ-SANCHEZ,N/D,N/D,M,VET-B,bluetrail,2018
72,73,19:12:57,00:00:00,Roberto GARCIA,N/D,N/D,M,VET-A,bluetrail,2018
73,74,19:14:01,00:00:00,Vicente DIAZ-DIAZ,N/D,N/D,M,VET-A,bluetrail,2018
74,75,19:15:12,00:00:00,Sergio CHICHARRO,N/D,N/D,M,VET-A,bluetrail,2018
75,76,19:15:47,00:00:00,Diego GUERRA-GIL,N/D,N/D,M,SENIOR,bluetrail,2018
76,77,19:15:48,00:00:00,Cristian GUERRA-PEREZ,N/D,N/D,M,SENIOR,bluetrail,2018
77,78,19:20:58,00:00:00,José-Manuel GONZALEZ-LEON,N/D,N/D,M,VET-A,bluetrail,2018
78,79,19:20:58,00:00:00,Ana_belén MARTIN-GONZALEZ,N/D,N/D,F,VET-A,bluetrail,2018
79,80,19:21:01,00:00:00,Ismael MASERO,N/D,N/D,M,SENIOR,bluetrail,2018
80,81,19:25:03,00:00:00,Giovanni ROTA,N/D,N/D,M,VET-B,bluetrail,2018
81,82,19:25:36,00:00:00,Julio RODRIGUEZ-TRIANA,N/D,N/D,M,VET-C,bluetrail,2018
82,83,19:25:55,00:00:00,Jose-Maria DIAZ-NICOLAS,N/D,N/D,M,VET-A,bluetrail,2018
83,84,19:27:42,00:00:00,Luis SICILIA-ROIG,N/D,N/D,M,VET-A,bluetrail,2018
84,85,19:27:44,00:00:00,Alberto MEGIDO,N/D,N/D,M,VET-A,bluetrail,2018
85,86,19:35:58,00:00:00,Dzintars KLAVA,N/D,N/D,M,VET-A,bluetrail,2018
86,87,19:37:02,00:00:00,Gregorio Jesus GUTIERREZ,N/D,N/D,M,VET-B,bluetrail,2018
87,88,19:38:07,00:00:00,Jose PEREA,N/D,N/D,M,SENIOR,bluetrail,2018
88,89,19:40:01,00:00:00,Jonathan GONZÁLEZ-TACORONTE,N/D,N/D,M,SENIOR,bluetrail,2018
89,90,19:40:05,00:00:00,Sixto LORENZO-FARRAIS,N/D,N/D,M,VET-A,bluetrail,2018
90,91,19:40:59,00:00:00,Jonathan LAURENTI,N/D,N/D,M,SENIOR,bluetrail,2018
91,92,19:41:04,00:00:00,Daniel FIDALGO DIAZ,N/D,N/D,M,SENIOR,bluetrail,2018
92,93,19:41:19,00:00:00,Miguel RODRIGUEZ,N/D,N/D,M,SENIOR,bluetrail,2018
93,94,19:41:25,00:00:00,Ivan RINALDI (Rinaldi IVAN),N/D,N/D,M,SENIOR,bluetrail,2018
94,95,19:44:20,00:00:00,Sergio PÉREZ-FARIÑA,N/D,N/D,M,SENIOR,bluetrail,2018
95,96,19:44:42,00:00:00,Alberto HERNÁNDEZ-BETANCOR,N/D,N/D,M,SENIOR,bluetrail,2018
96,97,19:44:43,00:00:00,Felipe-Neri RODRIGUEZ-DIAZ,N/D,N/D,M,SENIOR,bluetrail,2018
97,98,19:45:34,00:00:00,Ayoze ENCINOSO-FAJARDO,N/D,N/D,M,SENIOR,bluetrail,2018
98,99,19:45:38,00:00:00,Thomas CRISPILS,N/D,N/D,M,SENIOR,bluetrail,2018
99,100,19:47:28,00:00:00,Jose-Antonio MOLINA-GONZALEZ,N/D,N/D,M,VET-B,bluetrail,2018
100,101,19:53:01,00:00:00,Juan-Manuel GONZALEZ-YANES,N/D,N/D,M,VET-A,bluetrail,2018
101,102,19:56:23,00:00:00,Antonio MARIN,N/D,N/D,M,SENIOR,bluetrail,2018
102,103,19:56:26,00:00:00,Jose-Carmelo PEREZ-RODRIGUEZ,N/D,N/D,M,VET-A,bluetrail,2018
103,104,19:56:29,00:00:00,Mark DAVIES,N/D,N/D,M,VET-A,bluetrail,2018
104,105,19:59:15,00:00:00,Victor GONZALEZ GONZALEZ,N/D,N/D,M,VET-A,bluetrail,2018
105,106,20:04:39,00:00:00,Ricardo CASTRILLO PIÑERO,N/D,N/D,M,VET-A,bluetrail,2018
106,107,20:04:40,00:00:00,David Jesus DIAZ MARTINEZ,N/D,N/D,M,VET-A,bluetrail,2018
107,108,20:06:39,00:00:00,Gareth JONES,N/D,N/D,M,VET-B,bluetrail,2018
108,109,20:08:48,00:00:00,Andrei STAICU,N/D,N/D,M,SENIOR,bluetrail,2018
109,110,20:10:46,00:00:00,Thomas KETTELER,N/D,N/D,M,VET-A,bluetrail,2018
110,111,20:11:36,00:00:00,Maria Lorena RAMIREZ NAHUEACHI,N/D,N/D,F,SENIOR,bluetrail,2018
111,112,20:11:40,00:00:00,Elesio-Manuel SUAREZ-ALBERTO,N/D,N/D,M,VET-B,bluetrail,2018
112,113,20:11:41,00:00:00,Ruben NOVOA-JURADO,N/D,N/D,M,VET-B,bluetrail,2018
113,114,20:11:56,00:00:00,Laurent DEHEEGHER,N/D,N/D,M,VET-A,bluetrail,2018
114,115,20:11:59,00:00:00,Juanma LUIS,N/D,N/D,M,VET-A,bluetrail,2018
115,116,20:13:56,00:00:00,Francisco LOPEZ-ROLDAN,N/D,N/D,M,VET-A,bluetrail,2018
116,117,20:15:18,00:00:00,Carmen MARTINEZ-SAEZ,N/D,N/D,F,VET-A,bluetrail,2018
117,118,20:20:15,00:00:00,Quique TOLEDO-CALVO,N/D,N/D,M,VET-A,bluetrail,2018
118,119,20:23:41,00:00:00,Anibal PÉREZ-RODRÍGUEZ,N/D,N/D,M,SENIOR,bluetrail,2018
119,120,20:24:53,00:00:00,David SOA CRUZ,N/D,N/D,M,SENIOR,bluetrail,2018
120,121,20:31:55,00:00:00,Félix QUINTERO-SACRAMENTO,N/D,N/D,M,VET-A,bluetrail,2018
121,122,20:31:59,00:00:00,Felix-Ivan GUANCHE-MARRERO,N/D,N/D,M,VET-A,bluetrail,2018
122,123,20:35:25,00:00:00,Baudilio RODRIGUEZ-HERNANDEZ,N/D,N/D,M,VET-A,bluetrail,2018
