posicion,tiempo,dif,nombre,club,pais,sex,cat,carrera,anio
0,1,12:25:44,00:00:00,Fotis ZISIMOPOULOS,N/D,N/D,M,VET-A,bluetrail,2022
1,2,12:28:51,00:00:00,Yeray DURAN,N/D,N/D,M,VET-A,bluetrail,2022
2,3,12:31:55,00:00:00,Manuel Alexis MARTÍN LORENZO,N/D,N/D,M,SENIOR,bluetrail,2022
3,4,13:08:58,00:00:00,David LUTZARDO,N/D,N/D,M,SENIOR,bluetrail,2022
4,5,13:36:00,00:00:00,Agustin LUJAN,N/D,N/D,M,VET-A,bluetrail,2022
5,6,14:08:20,00:00:00,Juan Antonio GONZÁLEZ RODRÍGUEZ,N/D,N/D,M,VET-A,bluetrail,2022
6,7,14:16:19,00:00:00,Fabio ANDRIOLETTI,N/D,N/D,M,SENIOR,bluetrail,2022
7,8,14:39:51,00:00:00,Arcadio ARAUJO,N/D,N/D,M,VET-B,bluetrail,2022
8,9,14:41:38,00:00:00,Andrea NORIS,N/D,N/D,M,SENIOR,bluetrail,2022
9,10,14:52:32,00:00:00,Yeray MARCHAL-MARÍN,N/D,N/D,M,SENIOR,bluetrail,2022
10,11,15:14:16,00:00:00,Jose Carlos MELO GONZÁLEZ,N/D,N/D,M,SENIOR,bluetrail,2022
11,12,15:29:25,00:00:00,Raul GARCIA MENDOZA,N/D,N/D,M,VET-A,bluetrail,2022
12,13,15:29:29,00:00:00,Michael BRUHIN,N/D,N/D,M,SENIOR,bluetrail,2022
13,14,15:39:13,00:00:00,Sondre AMDAHL,N/D,N/D,M,VET-B,bluetrail,2022
14,15,15:45:57,00:00:00,Nestor ESTUPINAN QUEVEDO,N/D,N/D,M,VET-A,bluetrail,2022
15,16,15:49:00,00:00:00,Rayco GONZALEZ,N/D,N/D,M,SENIOR,bluetrail,2022
16,17,15:53:42,00:00:00,Domingo YANES RODRIGUEZ,N/D,N/D,M,SENIOR,bluetrail,2022
17,18,16:01:34,00:00:00,Xabier BERGERA-LEKUONA,N/D,N/D,M,SENIOR,bluetrail,2022
18,19,16:03:24,00:00:00,Mencey MORALES RUIZ,N/D,N/D,M,SENIOR,bluetrail,2022
19,20,16:05:16,00:00:00,Mikel ALONSO-CUENDE,N/D,N/D,M,SENIOR,bluetrail,2022
20,21,16:08:37,00:00:00,Juan RAMOS,N/D,N/D,M,SENIOR,bluetrail,2022
21,22,16:09:30,00:00:00,James CARR,N/D,N/D,M,SENIOR,bluetrail,2022
22,23,16:12:06,00:00:00,Oliver NAVARRO-GARCIA,N/D,N/D,M,SENIOR,bluetrail,2022
23,24,16:19:54,00:00:00,Daniel BARRETO CONCEPCION,N/D,N/D,M,SENIOR,bluetrail,2022
24,25,16:24:00,00:00:00,Nina KREISHERR,N/D,N/D,F,SENIOR,bluetrail,2022
25,26,16:26:23,00:00:00,Juan José MARRERO MARTÍN,N/D,N/D,M,SENIOR,bluetrail,2022
26,27,16:28:26,00:00:00,Francisco-Javier HERNANDEZ-SANCHEZ,N/D,N/D,M,VET-B,bluetrail,2022
27,28,16:32:19,00:00:00,Melissa PAGANELLI,N/D,N/D,F,SENIOR,bluetrail,2022
28,29,16:39:14,00:00:00,Javier GARCIA MARICHAL,N/D,N/D,M,VET-B,bluetrail,2022
29,30,16:40:54,00:00:00,Clément COLLART,N/D,N/D,M,SENIOR,bluetrail,2022
30,31,16:41:53,00:00:00,Santiago Jesus MEDINA MARRERO,N/D,N/D,M,SENIOR,bluetrail,2022
31,32,16:54:18,00:00:00,Francisco MARTINEZ BUGALLO,N/D,N/D,M,VET-A,bluetrail,2022
32,33,16:56:22,00:00:00,Adrian EXPOSITO PEREZ,N/D,N/D,M,SENIOR,bluetrail,2022
33,34,17:00:18,00:00:00,Raquel RIVERO DELGADO,N/D,N/D,F,VET-A,bluetrail,2022
34,35,17:00:23,00:00:00,Miguel GARCIA GUTIERREZ,N/D,N/D,M,VET-C,bluetrail,2022
35,36,17:02:39,00:00:00,Octavio HERNANDEZ CAÑAMERO,N/D,N/D,M,VET-A,bluetrail,2022
36,37,17:05:56,00:00:00,Alejandro DORTA REYES,N/D,N/D,M,SENIOR,bluetrail,2022
