posicion,tiempo,dif,nombre,club,pais,sex,cat,carrera,anio
0,1,12:54:16,00:00:00,David CALERO RODRÍGUEZ,N/D,N/D,M,SENIOR,bluetrail,2021
1,2,13:06:33,00:00:00,Lucien EPINEY,N/D,N/D,M,VET-A,bluetrail,2021
2,3,13:38:02,00:00:00,Manuel Alexis MARTÍN LORENZO,N/D,N/D,M,SENIOR,bluetrail,2021
3,4,13:44:07,00:00:00,Javier SOSA,N/D,N/D,M,SENIOR,bluetrail,2021
4,5,14:02:26,00:00:00,Tini GARCIA,N/D,N/D,M,VET-A,bluetrail,2021
5,6,14:07:35,00:00:00,Sebastien BUFFARD,N/D,N/D,M,VET-A,bluetrail,2021
6,7,14:09:41,00:00:00,Carmelo GONZALEZ RODRIGUEZ,N/D,N/D,M,VET-A,bluetrail,2021
7,8,14:16:31,00:00:00,Aurelien COLLET,N/D,N/D,M,VET-A,bluetrail,2021
8,9,14:28:06,00:00:00,Yuriy PIKH KORZHYLOVA,N/D,N/D,M,VET-C,bluetrail,2021
9,10,14:36:25,00:00:00,Maryline NAKACHE,N/D,N/D,F,SENIOR,bluetrail,2021
10,11,14:40:25,00:00:00,Arcadio ARAUJO,N/D,N/D,M,VET-A,bluetrail,2021
11,12,14:40:26,00:00:00,Javier BOTRAN DE LEON,N/D,N/D,M,SENIOR,bluetrail,2021
12,13,14:43:55,00:00:00,Francisco ESTEVEZ,N/D,N/D,M,SENIOR,bluetrail,2021
13,14,14:57:53,00:00:00,Jose-Manuel RODRIGUEZ-GOMEZ,N/D,N/D,M,VET-A,bluetrail,2021
14,15,15:10:27,00:00:00,Claire BANNWARTH,N/D,N/D,F,SENIOR,bluetrail,2021
15,16,15:28:27,00:00:00,Esteban GARCIA,N/D,N/D,M,VET-A,bluetrail,2021
16,17,15:32:57,00:00:00,Jose-Luis MOTA,N/D,N/D,M,VET-A,bluetrail,2021
17,18,15:37:53,00:00:00,Juan-David GALLARDO-DENIZ,N/D,N/D,M,VET-A,bluetrail,2021
18,19,15:56:58,00:00:00,Esther FERNANDEZ-GONZALEZ,N/D,N/D,F,VET-A,bluetrail,2021
19,20,16:12:41,00:00:00,Jabin PEREZ GONZALEZ,N/D,N/D,M,SENIOR,bluetrail,2021
20,21,16:19:38,00:00:00,Alberto RODRIGUEZ-CASTRO,N/D,N/D,M,VET-A,bluetrail,2021
21,22,16:20:24,00:00:00,Miguel RODRIGUEZ-GARCIA,N/D,N/D,M,VET-A,bluetrail,2021
22,23,16:23:21,00:00:00,Pedro Antonio DELGADO MARTIN,N/D,N/D,M,SENIOR,bluetrail,2021
23,24,16:26:14,00:00:00,Brayan PADILLA GLEZ,N/D,N/D,M,SENIOR,bluetrail,2021
24,25,16:27:05,00:00:00,Gonzalo OBREGON,N/D,N/D,M,VET-A,bluetrail,2021
25,26,16:31:35,00:00:00,Domingo YANES RODRIGUEZ,N/D,N/D,M,SENIOR,bluetrail,2021
26,27,16:36:58,00:00:00,Jordi BARRANCOS,N/D,N/D,M,VET-B,bluetrail,2021
