posicion,tiempo,dif,nombre,club,pais,sex,cat,carrera,anio
0,1,11:48:09,00:00:00,Yeray DURAN,N/D,N/D,M,VET-A,bluetrail,2019
1,2,12:11:22,00:00:00,Alberto VINAGRE,N/D,N/D,M,SENIOR,bluetrail,2019
2,3,12:20:47,00:00:00,David LUTZARDO,N/D,N/D,M,SENIOR,bluetrail,2019
3,4,12:31:47,00:00:00,Ion AZPIROZ,N/D,N/D,M,SENIOR,bluetrail,2019
4,5,12:51:19,00:00:00,Juan CHACON,N/D,N/D,M,VET-A,bluetrail,2019
5,6,13:28:24,00:00:00,Jose Manuel LEON,N/D,N/D,M,VET-A,bluetrail,2019
6,7,13:28:25,00:00:00,Agustin REYES,N/D,N/D,M,SENIOR,bluetrail,2019
7,8,13:32:20,00:00:00,Ricardo LUIS TRUJILLO,N/D,N/D,M,SENIOR,bluetrail,2019
8,9,13:35:22,00:00:00,Mark DARBYSHIRE,N/D,N/D,M,VET-A,bluetrail,2019
9,10,13:37:57,00:00:00,Manuel Alexis MARTÍN LORENZO,N/D,N/D,M,SENIOR,bluetrail,2019
10,11,13:41:44,00:00:00,Sange SHERPA,N/D,N/D,M,SENIOR,bluetrail,2019
11,12,13:52:49,00:00:00,Salvador OLIVAS,N/D,N/D,M,SENIOR,bluetrail,2019
12,13,14:08:55,00:00:00,David DÍAZ AMADOR,N/D,N/D,M,SENIOR,bluetrail,2019
13,14,14:10:33,00:00:00,Daniel ALONSO-SAYAR,N/D,N/D,M,SENIOR,bluetrail,2019
14,15,14:11:26,00:00:00,Roberto MARRERO PEREZ,N/D,N/D,M,VET-A,bluetrail,2019
15,16,14:20:59,00:00:00,Tini GARCIA,N/D,N/D,M,VET-A,bluetrail,2019
16,17,14:27:23,00:00:00,Alberto SANCHEZ-BUSTARA,N/D,N/D,M,SENIOR,bluetrail,2019
17,18,14:36:41,00:00:00,Leire MARTINEZ,N/D,N/D,F,VET-A,bluetrail,2019
18,19,14:37:57,00:00:00,Santiago GARCIA-SORIA,N/D,N/D,M,VET-A,bluetrail,2019
19,20,14:43:05,00:00:00,Josue ARAN-GARCIA,N/D,N/D,M,VET-A,bluetrail,2019
20,21,14:45:22,00:00:00,Jesus-Emilio CASTRO-PEREZ,N/D,N/D,M,SENIOR,bluetrail,2019
21,22,14:46:51,00:00:00,David CATALAN-CORELLA,N/D,N/D,M,SENIOR,bluetrail,2019
22,23,14:49:26,00:00:00,Marta MUIXI,N/D,N/D,F,SENIOR,bluetrail,2019
23,24,14:53:02,00:00:00,Javier TEJEDOR DIAZ,N/D,N/D,M,VET-A,bluetrail,2019
24,25,14:53:07,00:00:00,Juan-Carlos RODRIGUEZ-CASTILLA,N/D,N/D,M,VET-B,bluetrail,2019
25,26,14:53:48,00:00:00,Gianluca GALEATI,N/D,N/D,M,SENIOR,bluetrail,2019
26,27,14:55:35,00:00:00,Marcos Javier LUIS GONZALEZ,N/D,N/D,M,VET-A,bluetrail,2019
27,28,14:56:32,00:00:00,Miguel GARCIA GUTIERREZ,N/D,N/D,M,VET-C,bluetrail,2019
28,29,15:03:54,00:00:00,Aleksandar DOMAZETOVIC,N/D,N/D,M,SENIOR,bluetrail,2019
29,30,15:09:42,00:00:00,Jose Antonio RODRIGUEZ,N/D,N/D,M,SENIOR,bluetrail,2019
30,31,15:11:06,00:00:00,Xerach RODRIGUEZ SANTANA,N/D,N/D,M,SENIOR,bluetrail,2019
31,32,15:11:48,00:00:00,Ioannis KOYRKOYRIKIS,N/D,N/D,M,VET-A,bluetrail,2019
32,33,15:15:13,00:00:00,Jose Javier ROLDAN GARCIA,N/D,N/D,M,VET-A,bluetrail,2019
33,34,15:17:15,00:00:00,Jose Luis IGLESIAS,N/D,N/D,M,VET-A,bluetrail,2019
34,35,15:23:09,00:00:00,Irene GUEMBE IBANEZ,N/D,N/D,F,SENIOR,bluetrail,2019
35,36,15:24:05,00:00:00,John BENAMATI,N/D,N/D,M,VET-A,bluetrail,2019
36,37,15:25:33,00:00:00,Angel VILLEN,N/D,N/D,M,VET-A,bluetrail,2019
37,38,15:27:03,00:00:00,Aurelio TOCA RODRIGUEZ,N/D,N/D,M,VET-A,bluetrail,2019
38,39,15:28:29,00:00:00,Arkaitz ITURRIAGA-ETXEBARRIA,N/D,N/D,M,VET-A,bluetrail,2019
39,40,15:28:30,00:00:00,Unai AIZPURU,N/D,N/D,M,SENIOR,bluetrail,2019
40,41,15:35:24,00:00:00,Daniel SANTOS GARRIDO,N/D,N/D,M,VET-A,bluetrail,2019
41,42,15:41:51,00:00:00,Jordi PINYOL,N/D,N/D,M,VET-A,bluetrail,2019
42,43,15:43:07,00:00:00,Ivan PEREZ-CARLOS,N/D,N/D,M,SENIOR,bluetrail,2019
43,44,15:48:41,00:00:00,Moises SOLA-CORDOBA,N/D,N/D,M,SENIOR,bluetrail,2019
44,45,15:53:06,00:00:00,Jorge-Antonio GARCIA-MACIAS,N/D,N/D,M,VET-A,bluetrail,2019
45,46,15:57:50,00:00:00,Paolo VITALI,N/D,N/D,M,SENIOR,bluetrail,2019
