posicion,tiempo,dif,nombre,club,pais,sex,cat,carrera,anio
50,51,13:34:01,00:00:00,Enrique COCAÑA GONZÁLEZ,RUNMARC,N/D,M,SENIOR,haria,2019
51,52,13:36:10,00:00:00,Enrique LAGUNA ARIAS,INDEPENDIENTE,N/D,M,SENIOR,haria,2019
52,53,13:36:36,00:00:00,Oscar Luis DORTA PEREZ,MAGEC TRAIL,N/D,M,SENIOR,haria,2019
53,54,13:37:28,00:00:00,Guadalupe María MONROY ESPEJO,ABS F,N/D,F,unkwnow,haria,2019
54,55,13:37:54,00:00:00,David SEGADE COCHÓN,ABS M,N/D,M,unkwnow,haria,2019
55,56,13:37:55,00:00:00,Frederico MARQUES,ABS M,N/D,M,unkwnow,haria,2019
56,57,13:44:20,00:00:00,Manuel MARTÍN LOPEZ,CD FUERTETRAIL,N/D,M,SENIOR,haria,2019
57,58,13:47:27,00:00:00,Alessandro GIANCANE,PV725 - RASCHIANI TRIATHLON PAVESE,N/D,M,VET-A,haria,2019
58,59,13:59:01,00:00:00,Luis MEGIDO CASTELLANO,ABS M,N/D,M,unkwnow,haria,2019
59,60,14:04:56,00:00:00,Darío HERNANDEZ RODRÍGUEZ,ABS M,N/D,M,unkwnow,haria,2019
60,61,14:19:25,00:00:00,Alfia VILARDO,ASD LUPI D'APPENNINO,N/D,F,VET-A,haria,2019
61,62,14:19:30,00:00:00,German CONCEPCION RODRIGUEZ,MAGEC TRAIL,N/D,M,VET-A,haria,2019
62,63,14:21:30,00:00:00,Vanesa RUIZ BRAVO,COMANDO SA RIERA,N/D,F,VET-A,haria,2019
63,64,14:23:02,00:00:00,Judith CINCA NEGREIRA,BLUEISARDS,N/D,F,VET-A,haria,2019
64,65,14:23:35,00:00:00,Frank FISCHER,VET M,N/D,M,unkwnow,haria,2019
65,66,14:28:30,00:00:00,Nicolas Cedril FOULLIE,ABS M,N/D,M,unkwnow,haria,2019
66,67,14:30:18,00:00:00,David SANCHEZ CRUZ,GALLOTIA,N/D,M,SENIOR,haria,2019
67,68,14:31:20,00:00:00,María Lucia RODRIGUEZ REBOREDO,HARIA TRAIL TEAM,N/D,F,SENIOR,haria,2019
68,69,14:41:54,00:00:00,Carlos BALSERA TAMAYO,INDEPENDIENTE,N/D,M,SENIOR,haria,2019
69,70,14:54:59,00:00:00,Jose DOMINGUEZ BERJON,VET M,N/D,M,unkwnow,haria,2019
70,71,14:55:03,00:00:00,Ezequeil MORALES CORREA,CAMBATE LAS PATAS,N/D,M,SENIOR,haria,2019
71,72,14:55:09,00:00:00,Peter HEIMANN,TEAM ERDINGER ALKOHOLFREI,N/D,M,VET-A,haria,2019
72,73,14:55:56,00:00:00,Sandra FÄTSCH,TSV 1886 KANDEL/ TEAM ERDINGER ALKOHOLFREI,N/D,F,VET-A,haria,2019
73,74,14:56:45,00:00:00,Orlando GONZALEZ LEON,B-SPORTY,N/D,M,VET-A,haria,2019
74,75,14:58:35,00:00:00,Alberto VILARROIG IBAÑEZ,ABS M,N/D,M,unkwnow,haria,2019
75,76,14:58:48,00:00:00,Walter CARTELLI,VET M,N/D,M,unkwnow,haria,2019
76,77,14:59:31,00:00:00,Jose Ramon QUEIRUGA CALO,HARIA TRAIL TEAM,N/D,M,SENIOR,haria,2019
77,78,14:59:31,00:00:00,Yurena LEMES REYES,INCORPORE SANO,N/D,F,SENIOR,haria,2019
78,79,15:11:50,00:00:00,Julio COBOS BOZA,A MAS VIENTO MAS CADENA,N/D,M,SENIOR,haria,2019
79,80,15:15:47,00:00:00,Hugo SA,INDEPENDENT,N/D,M,SENIOR,haria,2019
80,81,15:20:29,00:00:00,Orlando Doramas MÁRQUEZ CABRERA,ABS M,N/D,M,unkwnow,haria,2019
81,82,15:20:51,00:00:00,Manuel SOTO GARCIA,VET M,N/D,M,unkwnow,haria,2019
82,83,15:21:14,00:00:00,Antonio COZZI,ATLETA SINGOLO,N/D,M,VET-A,haria,2019
83,84,15:21:55,00:00:00,Vasili SAMAK,INDEPENDIENTE,N/D,M,SENIOR,haria,2019
84,85,15:23:29,00:00:00,Stuart PALMER,VET M,N/D,M,unkwnow,haria,2019
85,86,15:26:02,00:00:00,Juan Antonio RAMOS DELGADO,GUADAMOJETE TRAIL,N/D,M,SENIOR,haria,2019
86,87,15:31:17,00:00:00,Jorge GINES ALGABA,PRIME NATURE MRM,N/D,M,VET-A,haria,2019
87,88,15:38:13,00:00:00,Davide REGANO,ASSOCIAZIONE MARATONETI ANDRIESI,N/D,M,SENIOR,haria,2019
88,89,15:47:27,00:00:00,Guenter TRIEBEL,VET M,N/D,M,unkwnow,haria,2019
89,90,15:47:36,00:00:00,Juan Carlos PICO TRESGALLO,SOCIEDAD DEPORTIVA TORRELAVEGA,N/D,M,VET-A,haria,2019
90,91,16:02:37,00:00:00,Michel CASSIERS,VET M,N/D,M,unkwnow,haria,2019
91,92,16:04:44,00:00:00,María Gema GARCÍA ORTÍZ,VET F,N/D,F,unkwnow,haria,2019
