posicion,tiempo,dif,nombre,club,pais,sex,cat,carrera,anio
45,46,12:38:05,00:00:00,Patricia FERNANDEZ MACHIN,N/D,España,F,SENIOR,haria,2018
46,47,12:40:46,00:00:00,Roberto GONZALEZ-MACHIN,N/D,España,M,VET-A,haria,2018
47,48,12:41:49,00:00:00,Diego INFANTE-GUERRERO,N/D,España,M,VET-A,haria,2018
48,49,12:42:20,00:00:00,Oliver MEIER,N/D,Suiza,M,SENIOR,haria,2018
49,50,12:42:54,00:00:00,Patricio VELEZ-QUISHPA,N/D,España,M,SENIOR,haria,2018
50,51,12:47:54,00:00:00,Eric DOHIN,N/D,Francia,M,VET-B,haria,2018
51,52,12:51:12,00:00:00,Istvan KISS,N/D,Hungría,M,SENIOR,haria,2018
52,53,12:53:03,00:00:00,Casey WEINMAN,N/D,Estados Unidos,M,SENIOR,haria,2018
53,54,12:53:08,00:00:00,Inger HAUGLAND,N/D,Noruega,F,VET-A,haria,2018
54,55,12:54:51,00:00:00,David SOSA-CRUZ,N/D,España,M,SENIOR,haria,2018
55,56,12:55:09,00:00:00,Manuel GUTIERREZ-FERNANDEZ,N/D,España,M,SENIOR,haria,2018
56,57,12:55:40,00:00:00,Vicente MEDALL RAMOS,N/D,España,M,SENIOR,haria,2018
57,58,12:56:37,00:00:00,Alberto COLOMBO,N/D,Italia,M,SENIOR,haria,2018
58,59,12:57:44,00:00:00,Giovanni VATIERI,N/D,Estados Unidos,M,SENIOR,haria,2018
59,60,12:59:24,00:00:00,Andreas PERRACINI,N/D,Suiza,M,VET-B,haria,2018
60,61,13:00:21,00:00:00,Enrique VILLANUEVA HEIMANN,N/D,España,M,VET-A,haria,2018
61,62,13:00:57,00:00:00,Thomas KETTELER,N/D,Alemania,M,VET-A,haria,2018
62,63,13:02:35,00:00:00,David TAPIOLES,N/D,España,M,VET-A,haria,2018
63,64,13:04:27,00:00:00,Oleksandr KADKALO,N/D,Ucrania,M,VET-C,haria,2018
64,65,13:07:37,00:00:00,Ana Cristina CONSTANTIN,N/D,Rumania,F,SENIOR,haria,2018
65,66,13:11:26,00:00:00,Joao CAETANO,N/D,Portugal,M,SENIOR,haria,2018
66,67,13:14:07,00:00:00,Jose-Javier PEREZ-HERNANDEZ,N/D,España,M,VET-B,haria,2018
67,68,13:15:59,00:00:00,Javier SANCHEZ,N/D,España,M,VET-A,haria,2018
68,69,13:20:13,00:00:00,José-Alexander GONZÁLEZ-PADRÓN,N/D,España,M,SENIOR,haria,2018
69,70,13:20:24,00:00:00,Francisco-Manuel HERNANDEZ-FEBLES,N/D,España,M,VET-A,haria,2018
70,71,13:23:35,00:00:00,Angel Roman MARTIN VIVAS,N/D,España,M,VET-A,haria,2018
71,72,13:24:17,00:00:00,Francisco Jose RODRIGUEZ BARRETO,N/D,España,M,SENIOR,haria,2018
72,73,13:25:20,00:00:00,Francisco MOLINA GIL,N/D,España,M,VET-A,haria,2018
73,74,13:25:44,00:00:00,Francisco-Javier RUBIO-CALVO,N/D,España,M,VET-A,haria,2018
74,75,13:32:19,00:00:00,Dario HERNANDEZ-RGUEZ,N/D,España,M,VET-A,haria,2018
75,76,13:37:23,00:00:00,Javier PORTALES-SEPULVEDA,N/D,España,M,VET-A,haria,2018
76,76,13:37:23,00:00:00,Silvia MARFIL-PINERO,N/D,España,F,VET-A,haria,2018
77,78,13:40:56,00:00:00,Juan VALLEJO-RODRIGUEZ,N/D,España,M,VET-A,haria,2018
78,79,13:40:57,00:00:00,Eva VIDAL-MADRID,N/D,España,F,VET-A,haria,2018
79,80,13:43:21,00:00:00,Manuela-Yenayra UMPIERREZ-NODA,N/D,España,F,SENIOR,haria,2018
80,80,13:43:21,00:00:00,Iván PEREZ-BARRETO,N/D,España,M,SENIOR,haria,2018
81,82,13:44:26,00:00:00,Orlando David FAJARDO GUTIÉRREZ,N/D,España,M,SENIOR,haria,2018
82,82,13:44:26,00:00:00,Cipriano PEÑA RODRÍGUEZ,N/D,España,M,VET-A,haria,2018
83,82,13:44:26,00:00:00,Francisco Manuel SANCHEZ SANCHEZ,N/D,España,M,SENIOR,haria,2018
84,85,13:44:43,00:00:00,Dailos CAPOTE MARTIN,N/D,España,M,SENIOR,haria,2018
85,86,13:45:06,00:00:00,Frank FISCHER,N/D,Alemania,M,VET-B,haria,2018
86,87,13:45:07,00:00:00,Francois LYON,N/D,Francia,M,VET-C,haria,2018
87,88,13:45:43,00:00:00,Jesus ROMERO,N/D,España,M,VET-A,haria,2018
88,89,13:47:04,00:00:00,Jan REGENFUSS,N/D,Alemania,M,SENIOR,haria,2018
89,90,13:50:24,00:00:00,Orlando Doramas MARQUEZ CABRERA,N/D,España,M,VET-A,haria,2018
90,91,13:53:26,00:00:00,David PUY CARRION,N/D,España,M,VET-A,haria,2018
91,92,13:58:16,00:00:00,Moisés HERNÁNDEZ TOLEDO,N/D,España,M,SENIOR,haria,2018
92,93,13:59:04,00:00:00,Walter BERTHIER,N/D,Francia,M,VET-A,haria,2018
93,94,14:00:49,00:00:00,Tanausu BARRETO-DELGADO,N/D,España,M,VET-A,haria,2018
94,95,14:02:21,00:00:00,Angel RODRIGUEZ-PADILLA,N/D,España,M,VET-B,haria,2018
95,96,14:03:57,00:00:00,Juan-Eusebio RODRIGUEZ-GARCIA,N/D,España,M,VET-A,haria,2018
96,97,14:04:46,00:00:00,Mario IZQUIERDO-LAWLOR,N/D,España,M,VET-A,haria,2018
97,98,14:07:27,00:00:00,Gonzalo MARTINEZ,N/D,España,M,VET-B,haria,2018
98,999,00:00:00,00:00:00,Maxime FOUQUET,N/D,Canadá,M,VET-A,haria,2018
99,999,00:00:00,00:00:00,Víctor Manuel GLEZ GLEZ,N/D,España,M,VET-A,haria,2018
100,999,00:00:00,00:00:00,Esteban MONTAÑEZ-RODRÍGUEZ,N/D,España,M,VET-A,haria,2018
101,999,00:00:00,00:00:00,Pablo RUIZ,N/D,España,M,VET-A,haria,2018
102,999,00:00:00,00:00:00,Miguel-Angel RODRIGUEZ-ARMAS,N/D,España,M,VET-B,haria,2018
103,999,00:00:00,00:00:00,Cesar-Alberto FERNANDEZ-PEREZ,N/D,España,M,VET-A,haria,2018
104,999,00:00:00,00:00:00,Enrique DIAZ BETHENCOURT,N/D,España,M,VET-A,haria,2018
105,999,00:00:00,00:00:00,Briccio FAJARDO,N/D,España,M,VET-B,haria,2018
106,999,00:00:00,00:00:00,Antonio BRAOJOS SANZ,N/D,España,M,VET-A,haria,2018
107,999,00:00:00,00:00:00,Juan-Ignacio SANTANA-DOMÍNGUEZ,N/D,España,M,VET-B,haria,2018
108,999,00:00:00,00:00:00,Juan-Manuel ALVAREZ-CORUÑA,N/D,España,M,VET-B,haria,2018
109,999,00:00:00,00:00:00,Ivan PALERO,N/D,España,M,VET-A,haria,2018
110,999,00:00:00,00:00:00,Alexis QUINTANA DIEPA,N/D,España,M,VET-A,haria,2018
111,999,00:00:00,00:00:00,Stephane CASSAN,N/D,Francia,M,VET-A,haria,2018
112,999,00:00:00,00:00:00,Roman DENIZ-HERRERA,N/D,España,M,VET-A,haria,2018
113,999,00:00:00,00:00:00,Nauzet SUAREZ-MORALES,N/D,España,M,SENIOR,haria,2018
114,999,00:00:00,00:00:00,Jose Manuel LEON,N/D,España,M,VET-A,haria,2018
115,999,00:00:00,00:00:00,Alejandro FRAGUELA,N/D,España,M,VET-A,haria,2018
116,999,00:00:00,00:00:00,Patricio CEBALLOS,N/D,Argentina,M,SENIOR,haria,2018
117,999,00:00:00,00:00:00,Yeray CABRERA-GARCÍA,N/D,España,M,SENIOR,haria,2018
118,999,00:00:00,00:00:00,Patrick MULLER-SUAREZ,N/D,España,M,VET-A,haria,2018
119,999,00:00:00,00:00:00,Jose-Antonio DELGADO-RODRIGUEZ,N/D,España,M,VET-A,haria,2018
120,999,00:00:00,00:00:00,Agustin LUJAN,N/D,España,M,VET-A,haria,2018
121,999,00:00:00,00:00:00,Daniel QUINTANA-SANTANA,N/D,España,M,VET-A,haria,2018
122,999,00:00:00,00:00:00,Luis-Miguel LEJARAZU-PRIETO,N/D,España,M,VET-A,haria,2018
123,999,00:00:00,00:00:00,Nacho ORTEGA-CASTELLANO,N/D,España,M,SENIOR,haria,2018
124,999,00:00:00,00:00:00,Ramon MAS FUSTER,N/D,España,M,VET-A,haria,2018
125,999,00:00:00,00:00:00,Cesar Fabian CASTRO,N/D,Argentina,M,VET-A,haria,2018
126,999,00:00:00,00:00:00,Eloy DELGADO-GARCIA,N/D,España,M,VET-A,haria,2018
