posicion,tiempo,dif,nombre,club,pais,sex,cat,carrera,anio
0,1,08:48:46,00:00:00,David LUTZARDO,N/D,España,M,SENIOR,haria,2018
1,2,09:27:01,00:00:00,Matthew HART,N/D,Reino Unido,M,VET-A,haria,2018
2,3,09:31:13,00:00:00,Gilles KLIPFEL,N/D,Francia,M,SENIOR,haria,2018
3,4,09:32:24,00:00:00,Gemma ARENAS,N/D,España,F,SENIOR,haria,2018
4,5,09:35:16,00:00:00,Carlos Enrique VIERA CABALLO,N/D,España,M,SENIOR,haria,2018
5,6,09:41:44,00:00:00,Sandro GONZALEZ MARTIN,N/D,España,M,SENIOR,haria,2018
6,7,09:42:58,00:00:00,Marcos RAMOS-GONZALEZ,N/D,España,M,SENIOR,haria,2018
7,8,09:44:32,00:00:00,Pawel DYBEK,N/D,Polonia,M,VET-A,haria,2018
8,9,10:03:52,00:00:00,Magdalena LACZAK,N/D,Polonia,F,VET-A,haria,2018
9,10,10:09:17,00:00:00,Jan BOŽIČ,N/D,Eslovenia,M,SENIOR,haria,2018
10,11,10:12:17,00:00:00,Xavier SAHUQUILLO,N/D,España,M,VET-A,haria,2018
11,12,10:17:00,00:00:00,Albi CEDRÈS VIÑOLY,N/D,España,M,SENIOR,haria,2018
12,13,10:25:41,00:00:00,Alvaro SANTANA-GABAS,N/D,España,M,SENIOR,haria,2018
13,14,10:31:29,00:00:00,Rafael FERNANDEZ-PERDOMO,N/D,España,M,VET-B,haria,2018
14,15,10:33:40,00:00:00,Mikel DOMENECH-GONZALEZ,N/D,España,M,SENIOR,haria,2018
15,16,10:57:27,00:00:00,Alvaro CARO GRACIA,N/D,España,M,SENIOR,haria,2018
16,17,10:58:12,00:00:00,Juan-Carlos RODRIGUEZ-CASTILLA,N/D,España,M,VET-B,haria,2018
17,18,11:02:26,00:00:00,Raul BARRIOCANAL MANCERA,N/D,España,M,VET-A,haria,2018
18,19,11:02:34,00:00:00,Manuel-Luis PEREZ-SALAZAR,N/D,España,M,VET-A,haria,2018
19,20,11:07:14,00:00:00,Roman BRUESCHWEILER,N/D,Suiza,M,VET-A,haria,2018
20,21,11:09:01,00:00:00,Alfredo LOZANO NARANJO,N/D,España,M,VET-A,haria,2018
21,22,11:09:28,00:00:00,Juan Antonio FERRANDO SAN BARTOLOME,N/D,España,M,VET-A,haria,2018
22,23,11:09:54,00:00:00,Leticia BULLIDO,N/D,España,F,SENIOR,haria,2018
23,24,11:12:06,00:00:00,Jack CASEY,N/D,Reino Unido,M,SENIOR,haria,2018
24,25,11:26:08,00:00:00,Ramon HEREDIA,N/D,España,M,VET-A,haria,2018
25,26,11:26:09,00:00:00,Juanmi SARGUES BORT,N/D,España,M,VET-A,haria,2018
26,27,11:27:15,00:00:00,Damian SALVADOR-ARTOLA,N/D,España,M,VET-A,haria,2018
27,28,11:27:54,00:00:00,Jose Luis SANCHEZ,N/D,España,M,VET-A,haria,2018
28,28,11:27:54,00:00:00,Jose Ramon (moncho) QUEIRUGA CALO,N/D,España,M,SENIOR,haria,2018
29,30,11:29:15,00:00:00,Juan Jose LARROTCHA,N/D,España,M,VET-A,haria,2018
30,31,11:31:26,00:00:00,Daniel GONZALEZ GONZALEZ,N/D,España,M,VET-A,haria,2018
31,32,11:43:53,00:00:00,Pedro CRESPO GRIJALBA,N/D,España,M,VET-B,haria,2018
32,32,11:43:53,00:00:00,Tomas SALVADOR-FUENTES,N/D,España,M,VET-A,haria,2018
33,34,11:47:14,00:00:00,Luis SUAREZ,N/D,España,M,VET-A,haria,2018
34,35,11:50:22,00:00:00,Jose Luis BASALO OCHOA,N/D,España,M,VET-B,haria,2018
35,36,11:55:53,00:00:00,Juan Luis RODRIGUEZ AGUIAR,N/D,España,M,VET-A,haria,2018
36,37,12:03:41,00:00:00,Guadafret MARTÍN-BETANCOR,N/D,España,M,SENIOR,haria,2018
37,38,12:05:58,00:00:00,Sara LORENZO RAMOS,N/D,España,F,SENIOR,haria,2018
38,39,12:06:45,00:00:00,Juan Antonio CARREÑO CLEMENTE,N/D,España,M,VET-A,haria,2018
39,40,12:08:34,00:00:00,Ayoze SARABIA-GONZALEZ,N/D,España,M,VET-A,haria,2018
40,41,12:10:44,00:00:00,Francisco SANTANA BENITEZ,N/D,España,M,SENIOR,haria,2018
41,42,12:20:47,00:00:00,Pedro-J MARRERO-VEGA,N/D,España,M,SENIOR,haria,2018
42,43,12:32:12,00:00:00,Inigo GARCIA-CHARTERINA,N/D,España,M,SENIOR,haria,2018
43,44,12:34:48,00:00:00,Gonzalo MAGARINOS,N/D,Argentina,M,SENIOR,haria,2018
44,45,12:36:06,00:00:00,Martin FEIGEL,N/D,Alemania,M,VET-B,haria,2018
